planner,planner_name,trial,message_count,duration_seconds,frequency_hz,analysis_timestamp
up1,P1: 2D Projection,1,551,54.946830559,10.027875937418361,2025-08-29T08:40:01.675591
up1,P1: 2D Projection,2,509,50.791351291,10.021391182994428,2025-08-29T08:40:01.676487
up2,P2: Pure 2D,3,475,59.821080555,7.940344701117209,2025-08-29T08:40:01.677209
up3,P3: 3D Corridor,1,502,61.161051118,8.207838008399742,2025-08-29T08:40:01.677917
up2,P2: Pure 2D,2,397,49.51244212,8.018186601214651,2025-08-29T08:40:01.678552
up5,P5: HeightMap,2,543,54.339149542,9.992795334058414,2025-08-29T08:40:01.679257
up2,P2: Pure 2D,1,450,56.004549711,8.03506147843582,2025-08-29T08:40:01.679966
up3,P3: 3D Corridor,2,458,54.753696346,8.364732074083232,2025-08-29T08:40:01.680695
up5,P5: HeightMap,1,618,61.682453313,10.019056746398125,2025-08-29T08:40:01.681666
up1,P1: 2D Projection,3,482,48.078292928,10.025314349696703,2025-08-29T08:40:01.682461
up5,P5: HeightMap,3,535,53.310453223,10.03555527397359,2025-08-29T08:40:01.683491
up4,P4: Follow-the-Gap,3,601,60.048094089,10.008644056366396,2025-08-29T08:40:01.687766
